"","NOME_REGIONE","anno_raggr","tasso_standard"
"1","Abruzzo","2015-19",1328.629264534
"2","Abruzzo","2020",1342.34906902506
"3","Abruzzo","2021",1358.15325125601
"4","Abruzzo","2022",1358.73030930342
"5","Abruzzo","2023",1264.83271376335
"6","Abruzzo","2024",1189.32443353111
"7","Abruzzo","2025",1168.52806437226
"8","Basilicata","2015-19",1337.02103864435
"9","Basilicata","2020",1337.84244332724
"10","Basilicata","2021",1364.5260870241
"11","Basilicata","2022",1377.7406538126
"12","Basilicata","2023",1275.18492240225
"13","Basilicata","2024",1186.66723928745
"14","Basilicata","2025",1213.38706877684
"15","Calabria","2015-19",1239.96829548547
"16","Calabria","2020",1223.21090082821
"17","Calabria","2021",1312.93407091208
"18","Calabria","2022",1288.9754426171
"19","Calabria","2023",1209.79566583837
"20","Calabria","2024",1148.46050253015
"21","Calabria","2025",1100.37576731424
"22","Campania","2015-19",1143.48041740142
"23","Campania","2020",1149.95321397269
"24","Campania","2021",1176.19685110208
"25","Campania","2022",1148.98954230162
"26","Campania","2023",1069.33283118608
"27","Campania","2024",1033.05636012455
"28","Campania","2025",1006.13775198452
"29","Emilia-Romagna","2015-19",1252.1308146173
"30","Emilia-Romagna","2020",1390.25713367988
"31","Emilia-Romagna","2021",1302.64519387216
"32","Emilia-Romagna","2022",1279.87255499057
"33","Emilia-Romagna","2023",1181.96856215688
"34","Emilia-Romagna","2024",1150.72288312237
"35","Emilia-Romagna","2025",1126.31157611456
"36","Friuli-Venezia Giulia","2015-19",1395.15320861988
"37","Friuli-Venezia Giulia","2020",1484.33496840125
"38","Friuli-Venezia Giulia","2021",1505.12364983939
"39","Friuli-Venezia Giulia","2022",1398.73196676458
"40","Friuli-Venezia Giulia","2023",1268.96851660569
"41","Friuli-Venezia Giulia","2024",1251.02317963531
"42","Friuli-Venezia Giulia","2025",1206.41858937185
"43","Lazio","2015-19",1215.648105833
"44","Lazio","2020",1188.73591378766
"45","Lazio","2021",1195.66749711428
"46","Lazio","2022",1175.01993950523
"47","Lazio","2023",1110.71133971791
"48","Lazio","2024",1087.53525176771
"49","Lazio","2025",1049.39800440624
"50","Liguria","2015-19",1570.4686618102
"51","Liguria","2020",1763.78842588319
"52","Liguria","2021",1554.93960454688
"53","Liguria","2022",1623.44841944454
"54","Liguria","2023",1455.00773311058
"55","Liguria","2024",1410.30087141353
"56","Liguria","2025",1386.02768082228
"57","Lombardia","2015-19",1170.93534611002
"58","Lombardia","2020",1470.3991585481
"59","Lombardia","2021",1177.47609257763
"60","Lombardia","2022",1192.97642900166
"61","Lombardia","2023",1084.05345369558
"62","Lombardia","2024",1048.58931842934
"63","Lombardia","2025",1038.48765756308
"64","Marche","2015-19",1317.83857655727
"65","Marche","2020",1412.77354959324
"66","Marche","2021",1393.41057211911
"67","Marche","2022",1373.78297816518
"68","Marche","2023",1235.20009846334
"69","Marche","2024",1203.52998888275
"70","Marche","2025",1171.19033869285
"71","Molise","2015-19",1437.06942912995
"72","Molise","2020",1446.11231853256
"73","Molise","2021",1574.01395234369
"74","Molise","2022",1501.08624101635
"75","Molise","2023",1376.5674466455
"76","Molise","2024",1367.93753095655
"77","Molise","2025",1301.53501914431
"78","Piemonte","2015-19",1419.31029553223
"79","Piemonte","2020",1647.26559959373
"80","Piemonte","2021",1417.60022206736
"81","Piemonte","2022",1452.45986810442
"82","Piemonte","2023",1311.18423419751
"83","Piemonte","2024",1264.30533967934
"84","Piemonte","2025",1244.65293842612
"85","Puglia","2015-19",1199.97264646586
"86","Puglia","2020",1256.75583745244
"87","Puglia","2021",1297.93590862802
"88","Puglia","2022",1212.55989335251
"89","Puglia","2023",1152.93314573554
"90","Puglia","2024",1102.43485339918
"91","Puglia","2025",1069.81620392042
"92","Sardegna","2015-19",1298.21534559674
"93","Sardegna","2020",1348.36211100164
"94","Sardegna","2021",1302.21116728858
"95","Sardegna","2022",1395.21777227361
"96","Sardegna","2023",1250.10476045551
"97","Sardegna","2024",1214.41844480651
"98","Sardegna","2025",1197.72321860033
"99","Sicilia","2015-19",1256.31758963785
"100","Sicilia","2020",1263.01850584607
"101","Sicilia","2021",1317.20724531041
"102","Sicilia","2022",1279.72666078532
"103","Sicilia","2023",1192.42085203534
"104","Sicilia","2024",1122.83070683933
"105","Sicilia","2025",1084.47400358024
"106","Toscana","2015-19",1347.39973034362
"107","Toscana","2020",1391.54534361054
"108","Toscana","2021",1366.02612765721
"109","Toscana","2022",1386.1180279385
"110","Toscana","2023",1245.08795033824
"111","Toscana","2024",1230.36504559401
"112","Toscana","2025",1190.08692856416
"113","Trentino-Alto Adige/S³dtirol","2015-19",1038.94908618756
"114","Trentino-Alto Adige/S³dtirol","2020",1210.21634944163
"115","Trentino-Alto Adige/S³dtirol","2021",1064.80999948603
"116","Trentino-Alto Adige/S³dtirol","2022",1055.30930580621
"117","Trentino-Alto Adige/S³dtirol","2023",946.302156160772
"118","Trentino-Alto Adige/S³dtirol","2024",926.291748562191
"119","Trentino-Alto Adige/S³dtirol","2025",914.888994450643
"120","Umbria","2015-19",1374.95572914154
"121","Umbria","2020",1381.41771027434
"122","Umbria","2021",1414.9211063614
"123","Umbria","2022",1410.36673451921
"124","Umbria","2023",1303.2751122507
"125","Umbria","2024",1262.67516428384
"126","Umbria","2025",1213.07428421101
"127","Valle d'Aosta/Vallķe d'Aoste","2015-19",1371.79227922035
"128","Valle d'Aosta/Vallķe d'Aoste","2020",1616.49368933066
"129","Valle d'Aosta/Vallķe d'Aoste","2021",1338.45132622795
"130","Valle d'Aosta/Vallķe d'Aoste","2022",1323.69406423327
"131","Valle d'Aosta/Vallķe d'Aoste","2023",1175.25485192448
"132","Valle d'Aosta/Vallķe d'Aoste","2024",1190.97992290658
"133","Valle d'Aosta/Vallķe d'Aoste","2025",1100.93689811641
"134","Veneto","2015-19",1202.56693884851
"135","Veneto","2020",1304.29102542387
"136","Veneto","2021",1208.24762129518
"137","Veneto","2022",1218.69522074443
"138","Veneto","2023",1101.01646752639
"139","Veneto","2024",1065.32506047705
"140","Veneto","2025",1054.27619650428
