"","NOME_REGIONE","tasso_2025","tasso_2015_19","diff_tasso","diff_tasso_perc"
"1","Abruzzo",1173.09816738869,1328.629264534,-155.531097145307,-11.7061321240623
"2","Basilicata",1217.53798084543,1337.02103864435,-119.483057798921,-8.93651291531425
"3","Calabria",1105.17233297323,1239.96829548547,-134.795962512244,-10.8709200874744
"4","Campania",1011.38644979692,1143.48041740142,-132.093967604498,-11.5519221487574
"5","Emilia-Romagna",1128.55272458661,1252.1308146173,-123.578090030692,-9.8694232733552
"6","Friuli-Venezia Giulia",1208.59745039739,1395.15320861988,-186.555758222488,-13.3717040587272
"7","Lazio",1056.64948614319,1215.648105833,-158.998619689814,-13.0793293657019
"8","Liguria",1389.20618775838,1570.4686618102,-181.262474051826,-11.5419351216403
"9","Lombardia",1041.12869967644,1170.93534611002,-129.806646433583,-11.0857227826298
"10","Marche",1172.81136338308,1317.83857655727,-145.027213174193,-11.0049300236045
"11","Molise",1307.09416498155,1437.06942912995,-129.975264148397,-9.0444665729956
"12","Piemonte",1246.95780772122,1419.31029553223,-172.352487811009,-12.143397279196
"13","Puglia",1072.44683608454,1199.97264646586,-127.52581038132,-10.6273931124103
"14","Sardegna",1202.71559882001,1298.21534559674,-95.4997467767371,-7.35623308572425
"15","Sicilia",1089.13207405288,1256.31758963785,-167.185515584978,-13.3075837641635
"16","Toscana",1192.95757243045,1347.39973034362,-154.442157913175,-11.4622375554275
"17","Trentino-Alto Adige/SŁdtirol",915.993710483387,1038.94908618756,-122.955375704169,-11.8345910631055
"18","Umbria",1215.89292907702,1374.95572914154,-159.062800064518,-11.5685761143618
"19","Valle d'Aosta/Vallťe d'Aoste",1103.38523814187,1371.79227922035,-268.407041078474,-19.5661577298731
"20","Veneto",1056.04812389976,1202.56693884851,-146.518814948749,-12.1838386051961
